Segment_,probability_alive_mean,probability_alive_std,probability_alive_median,predicted_purchases_mean,predicted_purchases_std,predicted_purchases_median,predicted_clv_mean,predicted_clv_std,predicted_clv_median,estimated_monetary_value_mean,estimated_monetary_value_std,estimated_monetary_value_median
High Value,0.9931227365766785,0.016450204059455523,0.9967488331485292,0.39773517802173575,0.2698267967039933,0.3335381783818447,111.36447983917894,71.40332040098123,92.0466386738929,291.80817884617943,58.942664220182955,287.6674389544844
Nurture,0.999196350820283,0.0014320842331465074,0.9999999998505089,0.3560275132430581,0.2696436450918937,0.2991464996356876,106.18210513204899,88.57255585096807,82.16955923248187,300.47772393313096,58.374019662233664,303.20832557635254
Risk,0.9988028677942494,0.0064268645357100475,0.9999999999378515,0.4475706196187055,0.4926208382640564,0.3321050169360283,289.0949589299754,1572.3814359828352,141.18373084432343,561.07479610271,2092.802929665479,416.35095838106133
