Subsegment_,probability_alive_mean,probability_alive_std,probability_alive_median,predicted_purchases_mean,predicted_purchases_std,predicted_purchases_median,predicted_clv_mean,predicted_clv_std,predicted_clv_median,estimated_monetary_value_mean,estimated_monetary_value_std,estimated_monetary_value_median
"High Value, High CLV",0.9984597304036705,0.0017930951908505738,0.9999999997435693,0.7811652428553437,0.2963236303053802,0.6836390045160826,222.33122617422487,64.64445226171739,204.08084189343566,300.8571163913063,62.287250376891244,302.6187578150814
"High Value, Low CLV",0.986493321370908,0.02421402407937306,0.9924506807734624,0.19486921570599253,0.06463690423504595,0.18681325033381035,52.86678893626354,13.04810803356087,53.57573622081031,284.4809793757795,55.656000376049604,279.41491600835053
"High Value, Medium CLV",0.9971705001159585,0.002980619402070702,0.9972511474981982,0.40378031568860767,0.12165782603251946,0.38344604990548,112.89232274129859,23.7723318575437,109.29809860353097,294.59578931816696,59.7605154474508,288.7896440863791
"Nurture, High CLV",0.9999999999165973,9.638807472144386e-11,0.9999999999406725,0.9227761099080977,0.4243567008949533,0.844030009976162,301.8639907453024,133.07672874308898,256.95619853586095,336.25599395386024,38.33527132738162,344.917853809751
"Nurture, Low CLV",0.9981346552108691,0.0016687603988188363,0.997421031258674,0.2049504643338838,0.0678308143039863,0.19079449448605915,54.97191579151068,11.343490919948778,55.51318637345003,285.03650732637965,61.59500993419034,284.93278891406453
"Nurture, Medium CLV",0.9999862482096966,0.00021125637094795478,0.9999999998831494,0.3534135810779105,0.08153560883529316,0.35204591336097385,104.38777762130222,20.326453227750488,100.96906192651933,305.84133693672544,54.60191980373686,314.72700212354107
"Risk, High CLV",0.9996562804686574,0.0013307946887373902,0.9999999999627287,0.7083789858311094,0.6214492680951795,0.5671781264449225,547.3934751628583,2319.233315209871,262.22943858637717,791.9057404533128,3101.4359249832632,491.63299810526235
"Risk, Low CLV",0.9979487612256178,0.007144827015473136,0.9999999998627215,0.14496685801877784,0.09550665941178418,0.1377607153891368,42.07787318214293,18.580620304834877,40.241734924572626,323.5780330295728,108.16783445433309,305.96239344336794
"Risk, Medium CLV",0.9982644732431779,0.009719860595459894,0.9999999999470073,0.3251740612879589,0.1548051863435618,0.28716051347608795,114.49618764846036,23.586454378652004,113.98238149805817,422.0148060330899,187.9905883121323,414.14854779718803
